game_title,asian_title,game_title_item,title_id,additional_info,region,content_id,url
Ken to Mahou to Gakuen Mono. 3,ドラゴンヘルム,Ken to Mahou to Gakuen Mono. 3 ドラゴンヘルム,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05130000000000,JP,JP0048-NPJH50338_00-IM05130000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05130000000000
Ken to Mahou to Gakuen Mono. 3,ドラゴンリスト,Ken to Mahou to Gakuen Mono. 3 ドラゴンリスト,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05650000000000,JP,JP0048-NPJH50338_00-IM05650000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05650000000000
Ken to Mahou to Gakuen Mono. 3,ドラゴンブーツ,Ken to Mahou to Gakuen Mono. 3 ドラゴンブーツ,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05790000000000,JP,JP0048-NPJH50338_00-IM05790000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM05790000000000
Ken to Mahou to Gakuen Mono. 3,ドラゴンシールド,Ken to Mahou to Gakuen Mono. 3 ドラゴンシールド,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06300000000000,JP,JP0048-NPJH50338_00-IM06300000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06300000000000
Ken to Mahou to Gakuen Mono. 3,レザーシールド,Ken to Mahou to Gakuen Mono. 3 レザーシールド,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06320000000000,JP,JP0048-NPJH50338_00-IM06320000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06320000000000
Ken to Mahou to Gakuen Mono. 3,火のイヤリング,Ken to Mahou to Gakuen Mono. 3 火のイヤリング,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06480000000000,JP,JP0048-NPJH50338_00-IM06480000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06480000000000
Ken to Mahou to Gakuen Mono. 3,水のイヤリング,Ken to Mahou to Gakuen Mono. 3 水のイヤリング,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06490000000000,JP,JP0048-NPJH50338_00-IM06490000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06490000000000
Ken to Mahou to Gakuen Mono. 3,風のイヤリング,Ken to Mahou to Gakuen Mono. 3 風のイヤリング,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06500000000000,JP,JP0048-NPJH50338_00-IM06500000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06500000000000
Ken to Mahou to Gakuen Mono. 3,土のイヤリング,Ken to Mahou to Gakuen Mono. 3 土のイヤリング,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06510000000000,JP,JP0048-NPJH50338_00-IM06510000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06510000000000
Ken to Mahou to Gakuen Mono. 3,妖精の羽,Ken to Mahou to Gakuen Mono. 3 妖精の羽,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06640000000000,JP,JP0048-NPJH50338_00-IM06640000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06640000000000
Ken to Mahou to Gakuen Mono. 3,ゴエモンのキセル,Ken to Mahou to Gakuen Mono. 3 ゴエモンのキセル,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06680000000000,JP,JP0048-NPJH50338_00-IM06680000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06680000000000
Ken to Mahou to Gakuen Mono. 3,命の指輪,Ken to Mahou to Gakuen Mono. 3 命の指輪,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06780000000000,JP,JP0048-NPJH50338_00-IM06780000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06780000000000
Ken to Mahou to Gakuen Mono. 3,忍のマント,Ken to Mahou to Gakuen Mono. 3 忍のマント,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06810000000000,JP,JP0048-NPJH50338_00-IM06810000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM06810000000000
Ken to Mahou to Gakuen Mono. 3,飛竜召喚札,Ken to Mahou to Gakuen Mono. 3 飛竜召喚札,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07780000000000,JP,JP0048-NPJH50338_00-IM07780000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07780000000000
Ken to Mahou to Gakuen Mono. 3,飛竜召喚カード,Ken to Mahou to Gakuen Mono. 3 飛竜召喚カード,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07860000000000,JP,JP0048-NPJH50338_00-IM07860000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07860000000000
Ken to Mahou to Gakuen Mono. 3,蘇生の果実,Ken to Mahou to Gakuen Mono. 3 蘇生の果実,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07910000000000,JP,JP0048-NPJH50338_00-IM07910000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07910000000000
Ken to Mahou to Gakuen Mono. 3,至高の果実,Ken to Mahou to Gakuen Mono. 3 至高の果実,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07960000000000,JP,JP0048-NPJH50338_00-IM07960000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07960000000000
Ken to Mahou to Gakuen Mono. 3,星の贈り物,Ken to Mahou to Gakuen Mono. 3 星の贈り物,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07980000000000,JP,JP0048-NPJH50338_00-IM07980000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM07980000000000
Ken to Mahou to Gakuen Mono. 3,焼きおにぎり×5個,Ken to Mahou to Gakuen Mono. 3 焼きおにぎり×5個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM08320000000000,JP,JP0048-NPJH50338_00-IM08320000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM08320000000000
Ken to Mahou to Gakuen Mono. 3,折れた青龍刀,Ken to Mahou to Gakuen Mono. 3 折れた青龍刀,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM09460000000000,JP,JP0048-NPJH50338_00-IM09460000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM09460000000000
Ken to Mahou to Gakuen Mono. 3,想星恋慕×3個,Ken to Mahou to Gakuen Mono. 3 想星恋慕×3個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM08430000000000,JP,JP0048-NPJH50338_00-IM08430000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM08430000000000
Ken to Mahou to Gakuen Mono. 3,貝殻×１０個,Ken to Mahou to Gakuen Mono. 3 貝殻×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11080000000000,JP,JP0048-NPJH50338_00-IM11080000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11080000000000
Ken to Mahou to Gakuen Mono. 3,硬い皮×１０個,Ken to Mahou to Gakuen Mono. 3 硬い皮×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11090000000000,JP,JP0048-NPJH50338_00-IM11090000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11090000000000
Ken to Mahou to Gakuen Mono. 3,鉄×１０個,Ken to Mahou to Gakuen Mono. 3 鉄×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11100000000000,JP,JP0048-NPJH50338_00-IM11100000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11100000000000
Ken to Mahou to Gakuen Mono. 3,粗末な布×１０個,Ken to Mahou to Gakuen Mono. 3 粗末な布×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11110000000000,JP,JP0048-NPJH50338_00-IM11110000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11110000000000
Ken to Mahou to Gakuen Mono. 3,転生の石×１０個,Ken to Mahou to Gakuen Mono. 3 転生の石×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11160000000000,JP,JP0048-NPJH50338_00-IM11160000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11160000000000
Ken to Mahou to Gakuen Mono. 3,黒金×１０個,Ken to Mahou to Gakuen Mono. 3 黒金×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11260000000000,JP,JP0048-NPJH50338_00-IM11260000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11260000000000
Ken to Mahou to Gakuen Mono. 3,白金×１０個,Ken to Mahou to Gakuen Mono. 3 白金×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11270000000000,JP,JP0048-NPJH50338_00-IM11270000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11270000000000
Ken to Mahou to Gakuen Mono. 3,夢の砂×１０個,Ken to Mahou to Gakuen Mono. 3 夢の砂×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11300000000000,JP,JP0048-NPJH50338_00-IM11300000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11300000000000
Ken to Mahou to Gakuen Mono. 3,星の砂×１０個,Ken to Mahou to Gakuen Mono. 3 星の砂×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11400000000000,JP,JP0048-NPJH50338_00-IM11400000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11400000000000
Ken to Mahou to Gakuen Mono. 3,消滅の石×１０個,Ken to Mahou to Gakuen Mono. 3 消滅の石×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11800000000000,JP,JP0048-NPJH50338_00-IM11800000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM11800000000000
Ken to Mahou to Gakuen Mono. 3,力の源×１０個,Ken to Mahou to Gakuen Mono. 3 力の源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12160000000000,JP,JP0048-NPJH50338_00-IM12160000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12160000000000
Ken to Mahou to Gakuen Mono. 3,知恵の源×１０個,Ken to Mahou to Gakuen Mono. 3 知恵の源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12170000000000,JP,JP0048-NPJH50338_00-IM12170000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12170000000000
Ken to Mahou to Gakuen Mono. 3,精神の源×１０個,Ken to Mahou to Gakuen Mono. 3 精神の源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12180000000000,JP,JP0048-NPJH50338_00-IM12180000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12180000000000
Ken to Mahou to Gakuen Mono. 3,生命力の源×１０個,Ken to Mahou to Gakuen Mono. 3 生命力の源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12190000000000,JP,JP0048-NPJH50338_00-IM12190000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12190000000000
Ken to Mahou to Gakuen Mono. 3,素早さの源×１０個,Ken to Mahou to Gakuen Mono. 3 素早さの源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12200000000000,JP,JP0048-NPJH50338_00-IM12200000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12200000000000
Ken to Mahou to Gakuen Mono. 3,運の源×１０個,Ken to Mahou to Gakuen Mono. 3 運の源×１０個,NPJH-50338,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12210000000000,JP,JP0048-NPJH50338_00-IM12210000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50338_00-IM12210000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,剣と魔法と学園モノ。Final ～新入生はお姫様！～,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! 剣と魔法と学園モノ。Final ～新入生はお姫様！～,ULJM-05965,,JP,,
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ガイアの杖,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ガイアの杖,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02400000000000,JP,JP0048-NPJH50493_00-IM02400000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02400000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ガラドボルグ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ガラドボルグ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02850000000000,JP,JP0048-NPJH50493_00-IM02850000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02850000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,きれいな水,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! きれいな水,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM07440000000000,JP,JP0048-NPJH50493_00-IM07440000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM07440000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,クリスタルマイク,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! クリスタルマイク,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03520000000000,JP,JP0048-NPJH50493_00-IM03520000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03520000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,クロスウィップ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! クロスウィップ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01470000000000,JP,JP0048-NPJH50493_00-IM01470000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01470000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ゴエモンのキセル,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ゴエモンのキセル,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM07090000000000,JP,JP0048-NPJH50493_00-IM07090000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM07090000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,サーベル,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! サーベル,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00440000000000,JP,JP0048-NPJH50493_00-IM00440000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00440000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ししゃも,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ししゃも,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01900000000000,JP,JP0048-NPJH50493_00-IM01900000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01900000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ジャージ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ジャージ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04690000000000,JP,JP0048-NPJH50493_00-IM04690000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04690000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ジョーカー,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ジョーカー,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03900000000000,JP,JP0048-NPJH50493_00-IM03900000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03900000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,スケイルアーマー,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! スケイルアーマー,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04200000000000,JP,JP0048-NPJH50493_00-IM04200000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04200000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,デュランダル,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! デュランダル,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00740000000000,JP,JP0048-NPJH50493_00-IM00740000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00740000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,トマホーク,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! トマホーク,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00850000000000,JP,JP0048-NPJH50493_00-IM00850000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM00850000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ドラゴンシールド,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ドラゴンシールド,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06740000000000,JP,JP0048-NPJH50493_00-IM06740000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06740000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ドラゴンブーツ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ドラゴンブーツ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06230000000000,JP,JP0048-NPJH50493_00-IM06230000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06230000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ドラゴンヘルム,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ドラゴンヘルム,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM05570000000000,JP,JP0048-NPJH50493_00-IM05570000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM05570000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ドラゴンメイル,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ドラゴンメイル,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04440000000000,JP,JP0048-NPJH50493_00-IM04440000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04440000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ドラゴンリスト,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ドラゴンリスト,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06050000000000,JP,JP0048-NPJH50493_00-IM06050000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06050000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ぱちんこ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ぱちんこ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02960000000000,JP,JP0048-NPJH50493_00-IM02960000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM02960000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,バトルハンマー,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! バトルハンマー,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01910000000000,JP,JP0048-NPJH50493_00-IM01910000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01910000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,まだらの紐,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! まだらの紐,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01430000000000,JP,JP0048-NPJH50493_00-IM01430000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM01430000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ミスリル鉱 （10個）,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ミスリル鉱 （10個）,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM10510000000000,JP,JP0048-NPJH50493_00-IM10510000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM10510000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,レザーシールド,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! レザーシールド,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06760000000000,JP,JP0048-NPJH50493_00-IM06760000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06760000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ローブ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ローブ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04770000000000,JP,JP0048-NPJH50493_00-IM04770000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM04770000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,ワンダフル・ペッパー （6個）,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! ワンダフル・ペッパー （6個）,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM11970000000000,JP,JP0048-NPJH50493_00-IM11970000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM11970000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,人魚のハープ,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! 人魚のハープ,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03280000000000,JP,JP0048-NPJH50493_00-IM03280000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM03280000000000
Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama!,修士の靴,Ken to Mahou to Gakuen Mono. Final: Shinnyuusei wa Ohimesama! 修士の靴,NPJH-50493,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06350000000000,JP,JP0048-NPJH50493_00-IM06350000000000,https://store.sonyentertainmentnetwork.com/#!/ja-jp/cid=JP0048-NPJH50493_00-IM06350000000000
